faval,fakdm,fakdul,fa01b,fakduk,facu33,fabelu,fakunr,fadato,fadaff,faavdr,faopko,fajour,faggrp,faaccn,faexra,fafrbn,falevn,famade,faagrn,fataxa,facuri,facd12,facd13,facd21,facd22,facd23,facd31,faavd,faopd,fali,favk,fabeln,fakda,fask,fafakt,famnd,facd32,favt,facc,faamou
NOK,N,,,B,,0,1,20070103,0,1,O,52,,99999,0,0,0,,0,0,,,,,,,,1,0,11,TRA,-88,I,I,900015,1,,0001,20,0
NOK,N,,,B,,0,1,20070103,0,1,O,52,,99999,0,0,0,,0,0,,,,,,,,1,0,12,588,-3,I,I,900015,1,,0001,20,0
NOK,N,J,,,,0,1,20070103,0,1,O,52,,31100,0,0,0,,0,0,,,,,,,,1,0,13,FRA,-1000,I,I,900015,1,,0001,20,0
NOK,N,,,B,,0,1,20070103,0,1,O,52,,99999,0,0,0,,0,0,,,,,,,,1,0,14,TRA,-88,I,I,900015,1,,0001,20,0
NOK,N,,,B,,0,1,20070103,0,1,O,52,,99999,0,0,0,,0,0,,,,,,,,1,0,15,588,-3,I,I,900015,1,,0001,20,0
NOK,J,J,,,,0,1,20070103,0,1,O,52,,31100,0,0,0,,0,0,,,,,,,,1,0,16,FRA,-1234,I,I,900015,1,,0001,20,0
NOK,N,,,B,,0,1,20070103,0,1,O,52,,99999,0,0,0,,0,0,,,,,,,,1,0,17,TRA,-88,I,I,900015,1,,0001,20,0
NOK,N,,,B,,0,1,20070103,0,1,O,52,,99999,0,0,0,,0,0,,,,,,,,1,0,18,588,-3,I,I,900015,1,,0001,20,0
NOK,J,,,,,0,1,20070103,0,1,O,52,,99999,0,0,0,,0,0,,,,,,,,1,0,19,UTL,-247,I,I,900015,1,,0001,20,0
NOK,N,,,B,,0,1,20070103,0,1,O,52,,99999,0,0,0,,0,0,,,,,,,,1,0,20,TRA,-88,I,I,900015,1,,0001,20,0
NOK,N,,,B,,0,1,20070103,0,1,O,52,,99999,0,0,0,,0,0,,,,,,,,1,0,21,588,-3,I,I,900015,1,,0001,20,0
USD,N,,,,,0,1,19981015,19981104,1,O,119,FK,40100,0,0,0,,0,0,USD,,,,,,,1,50026,1,FRA,-10000,K,X,258742,12,,**DIREKTE HOVED S:00,20,0
NOK,J,J,,,,0,1002,0,0,0,,0,,0,0,0,0,,0,0,,,,X,,,,1,52534,0,FRA,1500,M,K,0,0,,DETTE ER FRITEKST 1,0,0
NOK,J,,,,NOK,0,1002,0,0,0,,0,,0,0,0,0,,0,0,,,,X,,,,1,52534,1,SPE,55,M,K,0,0,,FRITEKST 2,0,0
NOK,J,,,,,0,1002,0,0,0,,0,,0,0,0,0,,0,0,,,,X,,,,1,52534,2,UTL,30,B,K,0,0,,,0,0
NOK,N,,,,,0,0,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52686,1,FAK,40,B,F,0,0,,,0,0
NOK,J,,,,,0,0,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52686,2,SPE,500,B,F,0,0,,,0,0
NOK,J,,,B,,0,0,0,0,0,,1001780,,0,0,0,0,,0,0,,,,,,,,1,52686,3,UTK,1020,B,F,0,0,,,0,0
NOK,J,J,,,NOK,0,1000,20000107,20000117,1,O,112,FI,30100,0,0,0,,0,0,NOK,,,,,,,1,52687,1,FRA,1500,C,K,283224,1,,,20,0
NOK,J,,,,NOK,0,1000,20000107,20000117,1,O,112,BI,30100,0,0,0,,0,0,NOK,,,,,,,1,52687,2,FAK,45,C,K,283224,1,,,20,0
NOK,J,,,,NOK,0,1000,20000107,20000117,1,O,112,FI,30100,0,0,0,,0,0,NOK,,,,,,,1,52687,3,UTL,30,C,K,283224,1,,,20,0
NOK,N,J,,,,0,24,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52688,1,FRA,0,B,S,0,0,,,0,0
DEM,N,J,,,,0,70,0,0,0,,0,,0,0,0,0,,0,0,,,,,,,,1,52688,2,SEA,0,A,K,0,0,,,0,0
NOK,N,,,,,0,70,20000901,20000915,1,O,91,FK,0,0,0,5000,,0,0,NOK,,,,,,,1,52688,3,FRA,-63905,K,K,786,9,,SINGAPORE AIRLI S:02,20,0
