faval,fakdm,fakdul,fa01b,fakduk,facu33,fabelu,fakunr,fadato,fadaff,faavdr,faopko,fajour,faggrp,faaccn,faexra,fafrbn,falevn,famade,faagrn,fataxa,facuri,facd12,facd13,facd21,facd22,facd23,facd31,faavd,faopd,fali,favk,fabeln,fakda,fask,fafakt,famnd,facd32,favt,facc,faamou
NOK,J,,,,,0,24,20151231,20170227,0,O,82,BK,41100,0,0,2,,0,0,,,,,,,,75,50,2,FRA,16328,K,S,284153,12,,*AVR*DIREKTE KOSTN.A,20,0
NOK,N,,,,,0,1,20151231,20170227,0,O,82,BK,40100,0,0,2,,0,0,,,,,,,,1,155511,86,FRA,19317,K,K,284153,12,,*AVF*FORDELT KOSTN.A,20,0
NOK,J,,,,,0,12,20151231,20170227,0,O,82,FK,41100,0,0,2,,0,0,,,,,,,,75,35,457,FRA,49313,K,K,284153,12,,*AVF*FORDELT KOSTN.A,20,0
NOK,J,,,,,0,1,20151231,20170227,0,O,82,BK,41100,0,0,2,,0,0,,,,,,,,75,96,1,FRA,64680,K,S,284153,12,,*AVF*FORDELT KOSTN.A,20,0
NOK,J,,,,,0,24,20151231,20170227,0,O,82,BK,41100,0,0,2,,0,0,,,,,,,,75,49,4,FRA,77492,K,S,284153,12,,*AVF*FORDELT KOSTN.A,20,0
NOK,J,,,,,0,24,20161231,20170327,0,O,82,BK,41100,0,0,60012,,0,0,,,,,,,,75,49,4,FRA,77492,K,S,284153,12,,*AVF*FORDELT KOSTN.A,20,0
NOK,J,,,,,0,24,20161231,20170327,0,O,82,BK,41100,0,0,60012,,0,0,,,,,,,,75,49,4,FRA,77492,K,S,284153,12,,*AVF*FORDELT KOSTN.A,20,0
NOK,J,,,,,0,24,20161231,20170327,0,O,82,BK,41100,0,0,60012,,0,0,,,,,,,,75,49,4,FRA,77492,K,S,284153,12,,*AVF*FORDELT KOSTN.A,20,0
